date,swimsuit
2004-01-01,34
2004-02-01,9
2004-03-01,14
2004-04-01,11
2004-05-01,42
2004-06-01,30
2004-07-01,37
2004-08-01,33
2004-09-01,11
2004-10-01,10
2004-11-01,12
2004-12-01,12
2005-01-01,5
2005-02-01,0
2005-03-01,16
2005-04-01,8
2005-05-01,28
2005-06-01,21
2005-07-01,21
2005-08-01,20
2005-09-01,27
2005-10-01,18
2005-11-01,15
2005-12-01,14
2006-01-01,20
2006-02-01,20
2006-03-01,18
2006-04-01,8
2006-05-01,15
2006-06-01,20
2006-07-01,32
2006-08-01,34
2006-09-01,20
2006-10-01,20
2006-11-01,4
2006-12-01,6
2007-01-01,10
2007-02-01,26
2007-03-01,14
2007-04-01,14
2007-05-01,21
2007-06-01,24
2007-07-01,35
2007-08-01,20
2007-09-01,11
2007-10-01,8
2007-11-01,9
2007-12-01,11
2008-01-01,18
2008-02-01,19
2008-03-01,14
2008-04-01,16
2008-05-01,18
2008-06-01,53
2008-07-01,85
2008-08-01,52
2008-09-01,37
2008-10-01,25
2008-11-01,21
2008-12-01,7
2009-01-01,30
2009-02-01,24
2009-03-01,17
2009-04-01,28
2009-05-01,26
2009-06-01,32
2009-07-01,44
2009-08-01,33
2009-09-01,24
2009-10-01,25
2009-11-01,25
2009-12-01,61
2010-01-01,33
2010-02-01,35
2010-03-01,29
2010-04-01,30
2010-05-01,34
2010-06-01,41
2010-07-01,59
2010-08-01,41
2010-09-01,34
2010-10-01,30
2010-11-01,53
2010-12-01,30
2011-01-01,36
2011-02-01,32
2011-03-01,26
2011-04-01,26
2011-05-01,28
2011-06-01,46
2011-07-01,57
2011-08-01,53
2011-09-01,35
2011-10-01,30
2011-11-01,30
2011-12-01,32
2012-01-01,43
2012-02-01,47
2012-03-01,49
2012-04-01,34
2012-05-01,38
2012-06-01,48
2012-07-01,73
2012-08-01,49
2012-09-01,33
2012-10-01,34
2012-11-01,33
2012-12-01,36
2013-01-01,41
2013-02-01,49
2013-03-01,41
2013-04-01,41
2013-05-01,48
2013-06-01,74
2013-07-01,81
2013-08-01,100
2013-09-01,42
2013-10-01,51
2013-11-01,50
2013-12-01,46
2014-01-01,52
2014-02-01,49
2014-03-01,43
2014-04-01,41
2014-05-01,41
2014-06-01,55
2014-07-01,70
2014-08-01,56
2014-09-01,42
2014-10-01,40
2014-11-01,37
2014-12-01,43
2015-01-01,61
2015-02-01,47
2015-03-01,42
2015-04-01,42
2015-05-01,45
2015-06-01,47
2015-07-01,73
2015-08-01,62
2015-09-01,44
2015-10-01,37
2015-11-01,39
2015-12-01,41
2016-01-01,40
2016-02-01,36
2016-03-01,33
2016-04-01,36
2016-05-01,40
2016-06-01,45
2016-07-01,60
2016-08-01,53
2016-09-01,34
2016-10-01,33
2016-11-01,32
2016-12-01,34
2017-01-01,33
2017-02-01,37
2017-03-01,30
2017-04-01,33
2017-05-01,36
2017-06-01,44
2017-07-01,59
2017-08-01,49
2017-09-01,33
2017-10-01,31
2017-11-01,30
2017-12-01,30
2018-01-01,33
2018-02-01,34
2018-03-01,29
2018-04-01,31
2018-05-01,31
2018-06-01,42
2018-07-01,67
2018-08-01,56
2018-09-01,36
2018-10-01,35
2018-11-01,30
2018-12-01,33
2019-01-01,38
2019-02-01,37
2019-03-01,32
2019-04-01,28
2019-05-01,31
2019-06-01,44
2019-07-01,56
2019-08-01,50
2019-09-01,32
2019-10-01,30
2019-11-01,28
2019-12-01,27
2020-01-01,33
2020-02-01,28
2020-03-01,26
2020-04-01,22
2020-05-01,28
2020-06-01,30
2020-07-01,36
2020-08-01,39
2020-09-01,27
2020-10-01,26
2020-11-01,22
2020-12-01,20
2021-01-01,22
2021-02-01,18
2021-03-01,21
2021-04-01,19
2021-05-01,21
2021-06-01,27
2021-07-01,37
2021-08-01,34
2021-09-01,28
2021-10-01,21
2021-11-01,26
2021-12-01,22
2022-01-01,21
2022-02-01,26
2022-03-01,23
2022-04-01,25
2022-05-01,29
2022-06-01,44
2022-07-01,58
2022-08-01,51
2022-09-01,29
2022-10-01,26
2022-11-01,28
2022-12-01,25
2023-01-01,30
2023-02-01,31
2023-03-01,24
2023-04-01,30
2023-05-01,26
2023-06-01,31
2023-07-01,51
2023-08-01,42
2023-09-01,25
